title,author,length
More Than Two,"Franklin Veaux,Eve Rickert,Jessica Fern,Janet Hardy",Length: 15 hrs and 47 mins
The Closing of the American Mind,Allan Bloom,Length: 14 hrs and 39 mins
The Maid,Nita Prose,Length: 9 hrs and 37 mins
Investments Unlimited,"Helen Beal,Bill Bensing,Jason Cox,Michael Edenzon,Topo Pal,Caleb Queern,John Rzezotarski,Andres Vega,John Willis",Length: 5 hrs and 36 mins
Carrie Soto Is Back,Taylor Jenkins Reid,Length: 10 hrs and 30 mins
Business Is Personal,Bethenny Frankel,Length: 6 hrs and 59 mins
Criminal (In)Justice,Rafael A. Mangual,Length: 5 hrs and 49 mins
Silva Mind Control Method,"Jose Silva,Philip Miele",Length: 5 hrs and 56 mins
Wild Fire,"Nicholas Sansbury Smith,Anthony Melchiorri",Length: 11 hrs and 9 mins
The Gift of Fear,Gavin de Becker,Length: 12 hrs and 50 mins
The Real Anthony Fauci,Robert F. Kennedy Jr.,Length: 27 hrs and 20 mins
Punk 57,Penelope Douglas,Length: 10 hrs and 7 mins
The Enforcer and His Heart,Kiki Clark,Length: 8 hrs and 16 mins
"Spies, Lies, and Algorithms",Amy B. Zegart,Length: 11 hrs and 54 mins
Giuliani,Andrew Kirtzman,Length: 15 hrs and 19 mins
The Destructionists,Dana Milbank,Length: 11 hrs and 58 mins
The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Length: 11 hrs and 39 mins
An Affair of Spies,Ronald H. Balson,Length: 10 hrs and 54 mins
Curse of Shadows and Thorns,LJ Andrews,Length: 10 hrs and 37 mins
Kane,Anna del Mar,Length: 11 hrs and 44 mins
Blackstone Fortress: Ascension,Darius Hinks,Length: 10 hrs and 57 mins
How to Begin,Michael Bungay Stanier,Length: 3 hrs and 12 mins
Be Still My Heart,"Emily McIntire,Sav R. Miller",Length: 12 hrs and 19 mins
The Marriage Portrait,Maggie O'Farrell,Length: 13 hrs and 28 mins
Key Person of Influence,Daniel Priestley,Length: 4 hrs and 50 mins
Illuminae,"Amie Kaufman,Jay Kristoff",Length: 11 hrs and 40 mins
When the Day Comes,Gabrielle Meyer,Length: 12 hrs and 26 mins
The Destructionists,Dana Milbank,Length: 11 hrs and 58 mins
The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Length: 11 hrs and 39 mins
An Affair of Spies,Ronald H. Balson,Length: 10 hrs and 54 mins
The Dip,Seth Godin,Length: 1 hr and 32 mins
Kane,Anna del Mar,Length: 11 hrs and 44 mins
Blackstone Fortress: Ascension,Darius Hinks,Length: 10 hrs and 57 mins
Be Still My Heart,"Emily McIntire,Sav R. Miller",Length: 12 hrs and 19 mins
The Marriage Portrait,Maggie O'Farrell,Length: 13 hrs and 28 mins
The Starfish and the Spider,"Ori Brafman,Rod Beckstrom",Length: 5 hrs and 32 mins
Key Person of Influence,Daniel Priestley,Length: 4 hrs and 50 mins
Loving People Who Are Hard to Love,Joyce Meyer,Length: 6 hrs and 37 mins
Hyperion,Dan Simmons,Length: 20 hrs and 44 mins
The E-Myth Revisited,Michael E. Gerber,Length: 8 hrs and 5 mins
Deep Work,Cal Newport,Length: 7 hrs and 44 mins
The Miracle Morning,Hal Elrod,Length: 4 hrs and 57 mins
The Very Secret Society of Irregular Witches,Sangu Mandanna,Length: 9 hrs and 59 mins
An Immense World,Ed Yong,Length: 14 hrs and 17 mins
We Never Die,Matt Fraser,Length: 6 hrs and 25 mins
A Good Chance,Ali Vali,Length: 9 hrs and 50 mins
When the Day Comes,Gabrielle Meyer,Length: 12 hrs and 26 mins
The Destructionists,Dana Milbank,Length: 11 hrs and 58 mins
The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Length: 11 hrs and 39 mins
An Affair of Spies,Ronald H. Balson,Length: 10 hrs and 54 mins
The Dip,Seth Godin,Length: 1 hr and 32 mins
Kane,Anna del Mar,Length: 11 hrs and 44 mins
Blackstone Fortress: Ascension,Darius Hinks,Length: 10 hrs and 57 mins
Be Still My Heart,"Emily McIntire,Sav R. Miller",Length: 12 hrs and 19 mins
The Marriage Portrait,Maggie O'Farrell,Length: 13 hrs and 28 mins
The Starfish and the Spider,"Ori Brafman,Rod Beckstrom",Length: 5 hrs and 32 mins
Key Person of Influence,Daniel Priestley,Length: 4 hrs and 50 mins
Loving People Who Are Hard to Love,Joyce Meyer,Length: 6 hrs and 37 mins
Hyperion,Dan Simmons,Length: 20 hrs and 44 mins
The E-Myth Revisited,Michael E. Gerber,Length: 8 hrs and 5 mins
Deep Work,Cal Newport,Length: 7 hrs and 44 mins
The Miracle Morning,Hal Elrod,Length: 4 hrs and 57 mins
The Very Secret Society of Irregular Witches,Sangu Mandanna,Length: 9 hrs and 59 mins
An Immense World,Ed Yong,Length: 14 hrs and 17 mins
We Never Die,Matt Fraser,Length: 6 hrs and 25 mins
A Good Chance,Ali Vali,Length: 9 hrs and 50 mins
